digest_id,extraction_id,date,vol_in,ng_in,enzymes,final_vol,quant,well,plate,notes,correction,corr_message,corr_editor,corr_date,storage
D2187,E1463,2015-11-05,15,1277,PstI_EcoRI,40,107.313,A5,D2155-D2198,NA,NA,NA,NA,0000-00-00,NA
D2703,XXXX,2015-12-01,30,0,PstI_EcoRI,40,0,A4,D2487-D2510,"quant = -0.31, not possiBle, changed to 0",NA,NA,NA,0000-00-00,NA
D2510,E2257,2015-12-01,30,-119,PstI_EcoRI,40,0,H3,D2487-D2510,"quant = -0.298, not possiBle, changed to 0",NA,NA,NA,0000-00-00,NA
D2509,E2256,2015-12-01,30,1056,PstI_EcoRI,40,12.519,G3,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2508,E2255,2015-12-01,30,1362,PstI_EcoRI,40,14.148,F3,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2507,E2254,2015-12-01,30,798,PstI_EcoRI,40,6.445,E3,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2506,E2253,2015-12-01,30,622,PstI_EcoRI,40,7.614,D3,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2505,E2252,2015-12-01,30,152,PstI_EcoRI,40,1.55,C3,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2504,E2251,2015-12-01,30,517,PstI_EcoRI,40,5.21,B3,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2503,E2250,2015-12-01,30,406,PstI_EcoRI,40,6.47,A3,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2502,E2249,2015-12-01,30,-351,PstI_EcoRI,40,6.648,H2,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2501,E2248,2015-12-01,30,905,PstI_EcoRI,40,9.599,G2,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2500,E2247,2015-12-01,30,837,PstI_EcoRI,40,12.637,F2,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2499,E2246,2015-12-01,30,2134,PstI_EcoRI,40,20.441,E2,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2498,E2245,2015-12-01,30,1676,PstI_EcoRI,40,16.902,D2,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2497,E2244,2015-12-01,30,1282,PstI_EcoRI,40,18.654,C2,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2496,E2243,2015-12-01,30,634,PstI_EcoRI,40,11.145,B2,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2495,E2242,2015-12-01,30,40,PstI_EcoRI,40,12.07,A2,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2494,E2241,2015-12-01,30,214,PstI_EcoRI,40,2.26,H1,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2493,E2240,2015-12-01,30,303,PstI_EcoRI,40,9.137,G1,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2492,E2239,2015-12-01,30,1418,PstI_EcoRI,40,10.781,F1,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2491,E2236,2015-12-01,30,207,PstI_EcoRI,40,0.647,E1,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2490,E2235,2015-12-01,30,401,PstI_EcoRI,40,1.362,D1,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2489,E2234,2015-12-01,30,214,PstI_EcoRI,40,0.642,C1,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
D2488,E2233,2015-12-01,30,343,PstI_EcoRI,40,0.789,B1,D2487-D2510,NA,NA,NA,NA,0000-00-00,NA
